"","method","genus","est","padj","sparsity","log2_mean"
"345","LinDA","g__Ruminococcaceae_[G-2]",-1.35720150757513,0.586645444052381,27,5
"135","LinDA","g__Saccharibacteria_(TM7)_[G-1]",-1.37006019771403,0.577310371866493,49,2
"401","LinDA","g__Scardovia",-1.10874218856302,0.660467197730817,60,5
"93","LinDA","g__Selenomonas",-0.102805049130753,0.975510908542081,12,6
"387","LinDA","g__Solobacterium",-2.37462407051471,0.429164332590856,25,5
"177","LinDA","g__Stomatobaculum",-1.12358037071911,0.711252298336843,33,4
"191","LinDA","g__Streptococcus",0.764599462741306,0.577310371866493,0,13
"37","LinDA","g__Tannerella",-0.0208761304555209,0.982123275016451,25,6
"44","LinDA","g__Treponema",-1.04836960695869,0.792895104749254,26,5
"100","LinDA","g__Veillonella",1.82724347181655,0.209237691074144,0,12
"142","LinDA","g__Veillonellaceae_[G-1]",0.686837874794705,0.815919516447306,64,3
"408","LinDA","other",1.48515037254232,0.654536200954663,5,7
"325","lmerSeq","g__Abiotrophia",-2.32733204417583,0.137237286010008,31,6
"304","lmerSeq","g__Absconditabacteria_(SR1)_[G-1]",-1.72673829088058,0.137237286010008,19,7
"10","lmerSeq","g__Actinomyces",0.0375093192559379,0.970644947879988,2,9
"115","lmerSeq","g__Aggregatibacter",-2.24104726091477,0.235271460873104,28,8
"59","lmerSeq","g__Alloprevotella",-4.56247197345613,0.00327158993936004,9,9
"367","lmerSeq","g__Anaeroglobus",0.135244344607666,0.917687780385363,54,4
"241","lmerSeq","g__Anoxybacillus",1.14527491808004,0.489057245315746,44,4
"108","lmerSeq","g__Atopobium",1.11735254249032,0.423208466440611,10,7
"269","lmerSeq","g__Bacteroidales_[G-2]",-0.805935602345012,0.457766514923823,22,6
"234","lmerSeq","g__Bacteroidetes_[G-3]",-0.697167193478841,0.258280439866126,63,3
"171","lmerSeq","g__Bacteroidetes_[G-5]",0.469932993523112,0.636017927808567,60,4
"206","lmerSeq","g__Bergeyella",0.49114523247258,0.677927298976406,15,8
"220","lmerSeq","g__Campylobacter",-0.640421740187423,0.64879641383185,4,8
"66","lmerSeq","g__Capnocytophaga",-0.149558498497688,0.917687780385363,2,9
"87","lmerSeq","g__Cardiobacterium",0.766676724415595,0.467317417921624,23,5
"185","lmerSeq","g__Catonella",-1.78597811201206,0.137237286010008,16,5
"283","lmerSeq","g__Corynebacterium",0.730728328105514,0.620785429709752,16,6
"262","lmerSeq","g__Dialister",-0.522468479644527,0.644758603447495,28,5
"395","lmerSeq","g__Escherichia",-0.45988700980154,0.489057245315746,20,3
"381","lmerSeq","g__Filifactor",-0.0586714645185486,0.917687780385363,69,2
"297","lmerSeq","g__Fretibacterium",0.263956609379873,0.738919425388369,54,4
"31","lmerSeq","g__Fusobacterium",-1.95310920096858,0.233854665470328,2,10
"332","lmerSeq","g__Gemella",-2.10534743346265,0.137237286010008,0,9
"318","lmerSeq","g__Gracilibacteria_(GN02)_[G-1]",-1.26819516081812,0.137237286010008,53,3
"276","lmerSeq","g__Granulicatella",-0.407428635984738,0.701553564138977,1,9
"3","lmerSeq","g__Haemophilus",-1.09664606449999,0.423208466440611,0,12
"150","lmerSeq","g__Kingella",-1.1809604643703,0.423208466440611,28,5
"129","lmerSeq","g__Lachnoanaerobaculum",-0.110184055778622,0.917687780385363,16,5
"199","lmerSeq","g__Lachnospiraceae_[G-2]",-0.210757109416325,0.771846918696956,53,4
"24","lmerSeq","g__Lachnospiraceae_[G-3]",-0.289324841852422,0.636017927808567,67,3
"311","lmerSeq","g__Lautropia",-2.23583434685834,0.236359696146621,17,7
"80","lmerSeq","g__Leptotrichia",-1.1160491104328,0.467317417921624,2,10
"290","lmerSeq","g__Megasphaera",1.44466191018,0.423208466440611,14,8
"374","lmerSeq","g__Mogibacterium",0.290082184911885,0.677927298976406,64,3
"73","lmerSeq","g__Mycoplasma",-0.901851971002215,0.236359696146621,41,5
"248","lmerSeq","g__Neisseria",-1.07863434949973,0.489057245315746,1,12
"255","lmerSeq","g__Oribacterium",-1.79367399043903,0.22327858047186,9,8
"360","lmerSeq","g__Ottowia",0.124439680211396,0.917687780385363,69,3
"213","lmerSeq","g__Parvimonas",-1.15584491963751,0.353448991080427,35,5
"122","lmerSeq","g__Peptidiphaga",0.53457903643991,0.353448991080427,69,1
"353","lmerSeq","g__Peptostreptococcaceae_[XI][G-1]",-0.803748982025952,0.423208466440611,43,3
"17","lmerSeq","g__Peptostreptococcaceae_[XI][G-7]",-0.990154272998553,0.423208466440611,20,5
"339","lmerSeq","g__Peptostreptococcus",-0.973806471659686,0.423208466440611,22,5
"227","lmerSeq","g__Porphyromonas",-1.84698346449711,0.137237286010008,1,10
"52","lmerSeq","g__Prevotella",-0.349304185215035,0.677927298976406,0,12
"157","lmerSeq","g__Ralstonia",-0.430577226475576,0.677927298976406,52,4
"164","lmerSeq","g__Rothia",-1.64737816522506,0.353448991080427,1,11
"346","lmerSeq","g__Ruminococcaceae_[G-2]",-1.00401201614316,0.353448991080427,27,5
"136","lmerSeq","g__Saccharibacteria_(TM7)_[G-1]",-0.701641090635102,0.277942884434867,49,2
"402","lmerSeq","g__Scardovia",-0.631998214027043,0.533471469292682,60,5
"94","lmerSeq","g__Selenomonas",-0.162966438739014,0.917687780385363,12,6
"388","lmerSeq","g__Solobacterium",-1.65829770333518,0.149195525829695,25,5
"178","lmerSeq","g__Stomatobaculum",-0.83106601821382,0.467317417921624,33,4
"192","lmerSeq","g__Streptococcus",-0.0945144116180004,0.917687780385363,0,13
"38","lmerSeq","g__Tannerella",-0.350926998327835,0.677927298976406,25,6
"45","lmerSeq","g__Treponema",-0.793493611038381,0.608480084166938,26,5
"101","lmerSeq","g__Veillonella",0.974016361747964,0.353448991080427,0,12
"143","lmerSeq","g__Veillonellaceae_[G-1]",0.0215137340154435,0.970644947879988,64,3
"409","lmerSeq","other",0.654150552485634,0.64879641383185,5,7
"327","NBZIMM","g__Abiotrophia",-3.19099897920492,0.00560648536940883,31,6
"306","NBZIMM","g__Absconditabacteria_(SR1)_[G-1]",-1.79856748950497,0.0169648423961971,19,7
"12","NBZIMM","g__Actinomyces",0.0576274500008665,0.990691862853506,2,9
"117","NBZIMM","g__Aggregatibacter",-1.97867769101091,0.0191190550926629,28,8
"61","NBZIMM","g__Alloprevotella",-2.68319453283323,0.000521805574142339,9,9
"369","NBZIMM","g__Anaeroglobus",0.385753377413143,0.543163716793688,54,4
"243","NBZIMM","g__Anoxybacillus",-1.32386233788203,0.298998202931511,44,4
"110","NBZIMM","g__Atopobium",0.711032093117182,0.33874860331167,10,7
"271","NBZIMM","g__Bacteroidales_[G-2]",-0.354681793001548,0.727701692801403,22,6
"236","NBZIMM","g__Bacteroidetes_[G-3]",-1.63114172070331,0.00163999947126557,63,3
"173","NBZIMM","g__Bacteroidetes_[G-5]",1.38065806284306,0.105534518640433,60,4
"208","NBZIMM","g__Bergeyella",0.561153608456796,0.462355864076557,15,8
"222","NBZIMM","g__Campylobacter",0.63080760302091,0.462355864076557,4,8
"68","NBZIMM","g__Capnocytophaga",0.367980100673482,0.641307572993107,2,9
"89","NBZIMM","g__Cardiobacterium",1.6546625897392,0.0169648423961971,23,5
"187","NBZIMM","g__Catonella",-0.705842216877758,0.453487832111075,16,5
"285","NBZIMM","g__Corynebacterium",2.75249123468119,0.000691307963775347,16,6
"264","NBZIMM","g__Dialister",-0.384963818037036,0.727701692801403,28,5
"397","NBZIMM","g__Escherichia",-0.344607266403661,0.710715226129093,20,3
"383","NBZIMM","g__Filifactor",-47.089140365258,0.99999873347341,69,2
"299","NBZIMM","g__Fretibacterium",0.675588407013729,0.657227589022472,54,4
"33","NBZIMM","g__Fusobacterium",-0.158698470734465,0.86682767788136,2,10
"334","NBZIMM","g__Gemella",0,1,0,9
"320","NBZIMM","g__Gracilibacteria_(GN02)_[G-1]",-46.4952073889786,0.99999873347341,53,3
"278","NBZIMM","g__Granulicatella",-0.0370451355389835,0.992371521931263,1,9
"5","NBZIMM","g__Haemophilus",0,1,0,12
"152","NBZIMM","g__Kingella",-0.0868819647778358,0.97691474479498,28,5
"131","NBZIMM","g__Lachnoanaerobaculum",0.166825058742856,0.883092272536675,16,5
"201","NBZIMM","g__Lachnospiraceae_[G-2]",0.75720255786448,0.364969859945456,53,4
"26","NBZIMM","g__Lachnospiraceae_[G-3]",1.73456697560684,0.192603584477242,67,3
"313","NBZIMM","g__Lautropia",-1.32134825932798,0.262520908975877,17,7
"82","NBZIMM","g__Leptotrichia",0.248167759009492,0.727701692801403,2,10
"292","NBZIMM","g__Megasphaera",1.35714069451632,0.0997482175392251,14,8
"376","NBZIMM","g__Mogibacterium",1.86878429824497,0.00288083106552308,64,3
"75","NBZIMM","g__Mycoplasma",-0.901275776939218,0.364969859945456,41,5
"250","NBZIMM","g__Neisseria",-0.531584344337093,0.468174808322345,1,12
"257","NBZIMM","g__Oribacterium",-1.10721385051739,0.134345227218673,9,8
"362","NBZIMM","g__Ottowia",3.34785104929704,2.87165578367496e-21,69,3
"215","NBZIMM","g__Parvimonas",-1.12072004149214,0.134345227218673,35,5
"124","NBZIMM","g__Peptidiphaga",4.85977671052035,3.34485014389432e-16,69,1
"355","NBZIMM","g__Peptostreptococcaceae_[XI][G-1]",-3.07104680829624,0.00279067922750071,43,3
"19","NBZIMM","g__Peptostreptococcaceae_[XI][G-7]",0.388331481096999,0.727701692801403,20,5
"341","NBZIMM","g__Peptostreptococcus",-0.159158775659994,0.873121913173729,22,5
"229","NBZIMM","g__Porphyromonas",-0.940526002386742,0.139530518641007,1,10
"54","NBZIMM","g__Prevotella",0,1,0,12
"159","NBZIMM","g__Ralstonia",-1.90170434951579,0.0169648423961971,52,4
"166","NBZIMM","g__Rothia",-0.207797467831248,0.86682767788136,1,11
"348","NBZIMM","g__Ruminococcaceae_[G-2]",-2.31954253174387,0.0169648423961971,27,5
"138","NBZIMM","g__Saccharibacteria_(TM7)_[G-1]",-1.47744686865355,0.137165201018716,49,2
"404","NBZIMM","g__Scardovia",-44.9884885610392,0.99999873347341,60,5
"96","NBZIMM","g__Selenomonas",1.05815767309356,0.325305161713613,12,6
"390","NBZIMM","g__Solobacterium",-0.64352984268658,0.376064189553245,25,5
"180","NBZIMM","g__Stomatobaculum",0.34212979525139,0.733490487224879,33,4
"194","NBZIMM","g__Streptococcus",0,1,0,13
"40","NBZIMM","g__Tannerella",-0.0199763343993612,0.99999873347341,25,6
"47","NBZIMM","g__Treponema",0.555324346997081,0.641307572993107,26,5
"103","NBZIMM","g__Veillonella",0,1,0,12
"145","NBZIMM","g__Veillonellaceae_[G-1]",0.949098729230625,0.364969859945456,64,3
"411","NBZIMM","other",1.10371576643272,0.39263003169157,5,7
"326","ANCOM-BC2","g__Abiotrophia",-2.41967634223125,0.79819514313916,31,6
"305","ANCOM-BC2","g__Absconditabacteria_(SR1)_[G-1]",-1.3413778508031,0.875466793467464,19,7
"11","ANCOM-BC2","g__Actinomyces",-0.246900005744852,0.931416179199248,2,9
"116","ANCOM-BC2","g__Aggregatibacter",-0.839290257691954,0.875466793467464,28,8
"60","ANCOM-BC2","g__Alloprevotella",-2.74447156803976,1,9,9
"368","ANCOM-BC2","g__Anaeroglobus",0.013670103576343,1,54,4
"242","ANCOM-BC2","g__Anoxybacillus",-0.64749864205035,0.884378006109201,44,4
"109","ANCOM-BC2","g__Atopobium",0.376920393335853,0.884378006109201,10,7
"270","ANCOM-BC2","g__Bacteroidales_[G-2]",-0.367296371125672,0.884378006109201,22,6
"235","ANCOM-BC2","g__Bacteroidetes_[G-3]",-1.06321306603654,0.875466793467464,63,3
"172","ANCOM-BC2","g__Bacteroidetes_[G-5]",1.36945118336452,0.875466793467464,60,4
"207","ANCOM-BC2","g__Bergeyella",0.692391572436622,0.875466793467464,15,8
"221","ANCOM-BC2","g__Campylobacter",0.123845946927926,0.993185420928346,4,8
"67","ANCOM-BC2","g__Capnocytophaga",-0.429805718268648,0.875466793467464,2,9
"88","ANCOM-BC2","g__Cardiobacterium",1.09386024294506,0.875466793467464,23,5
"186","ANCOM-BC2","g__Catonella",-0.793627873378293,0.875466793467464,16,5
"284","ANCOM-BC2","g__Corynebacterium",1.01617834638059,0.875466793467464,16,6
"263","ANCOM-BC2","g__Dialister",-0.6571082134966,0.875466793467464,28,5
"396","ANCOM-BC2","g__Escherichia",-0.512803618137345,0.875466793467464,20,3
"382","ANCOM-BC2","g__Filifactor",0,1,69,2
"298","ANCOM-BC2","g__Fretibacterium",1.13592414123482,0.875466793467464,54,4
"32","ANCOM-BC2","g__Fusobacterium",-0.524039510141856,0.875466793467464,2,10
"333","ANCOM-BC2","g__Gemella",-1.93681038797184,1,0,9
"319","ANCOM-BC2","g__Gracilibacteria_(GN02)_[G-1]",0,1,53,3
"277","ANCOM-BC2","g__Granulicatella",-0.667773279223027,0.875466793467464,1,9
"4","ANCOM-BC2","g__Haemophilus",-1.06292882424672,0.875466793467464,0,12
"151","ANCOM-BC2","g__Kingella",-0.179113922024269,0.993185420928346,28,5
"130","ANCOM-BC2","g__Lachnoanaerobaculum",-0.470736905169542,0.875466793467464,16,5
"200","ANCOM-BC2","g__Lachnospiraceae_[G-2]",0.671687327513751,0.875466793467464,53,4
"25","ANCOM-BC2","g__Lachnospiraceae_[G-3]",0.0983525451563697,1,67,3
"312","ANCOM-BC2","g__Lautropia",-0.715090603274713,1,17,7
"81","ANCOM-BC2","g__Leptotrichia",-0.0525249567055237,1,2,10
"291","ANCOM-BC2","g__Megasphaera",0.964477420130149,0.875466793467464,14,8
"375","ANCOM-BC2","g__Mogibacterium",1.21201241324887,0.875466793467464,64,3
"74","ANCOM-BC2","g__Mycoplasma",-0.761936334188555,0.875466793467464,41,5
"249","ANCOM-BC2","g__Neisseria",-1.07428241068521,0.875466793467464,1,12
